"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"279";"DE16-079m19";"ND";"2016";"DE";"19";"m";"German";"";"Bavaria";"mostly German / some English";"German";"German";"public";"public";"High School Diploma";"Student";"";"";"";"";"";"";"ND";"19";"ND";"1.0";"0 Berlin; 1-2 Regensburg; 3-18 München; 19 Bamberg";"Germany";"";"19";"1.0";"";"Male";"State";"State";"German, English";"German";"German";"Secondary Education";"";"";"";"Secondary Education"
"280";"DE16-080m19";"ND";"2016";"DE";"19";"m";"German";"";"Canada";"mostly German / some English";"German";"German";"public";"public";"High School Diploma";"Student";"";"";"";"";"";"";"ND";"17";"ND";"0.89";"0-14 Mespelbrunn; 15 Australia; 16 Australia/USA; 17-19 Mespelbrunn";"Germany";"";"17";"0.89";"";"Male";"State";"State";"German, English";"German";"German";"Secondary Education";"";"";"";"Secondary Education"
"281";"DE16-081f19";"ND";"2016";"DE";"19";"f";"German";"?";"Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Mittlere Reife";"";"Quali";"";"Mittlere Reife";"";"ND";"19";"ND";"1.0";"0-18 Schweinfurt; 19 Bamberg";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education"
"282";"DE16-082f20";"ND";"2016";"DE";"20";"f";"German";"German";"Westphalia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Hauptschulabschluss";"Hospital's Secretary";"Hauptschulabschluss";"Carney";"";"";"ND";"18";"ND";"0.9";"0-13 Harsewinkel; 14 Passau; 15-17 Harsewinkel; 18 Boston, MA, USA; 19 New York, NY, USA; 20 Passau/Bamberg";"Germany";"";"18";"0.9";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"283";"DE16-083f18";"ND";"2016";"DE";"18";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"Lehramt Gymnasium";"Student; Working part time at supermarket";"Abitur";"Naturstrom Secretary";"Fachabitur";"IT-ler";"Abitur";"Merchant";"ND";"18";"ND";"1.0";"0-13 Ebermannstadt; 14-18 Forchheim";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"Secondary Education";"Higher Education"
"284";"DE16-084f20";"ND";"2016";"DE";"20";"f";"German";"White";"Germany";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Mittlere Reife";"Educator";"Mittlere Reife";"Law Enforcement Officer";"";"";"ND";"20";"ND";"1.0";"0-19 Töpen bei Hof; 20 Töpen/Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"285";"DE16-085f19";"ND";"2016";"DE";"19";"f";"German";"White";"Germany";"German";"German";"German";"public";"private";"High School Diploma";"Student";"Lehre";"House Wife";"Technikumabschluss Maschinenbau";"Technical Engineer";"";"";"ND";"19";"ND";"1.0";"0-17 Würzburg; 18 Passau; 19 Bamberg";"Germany";"";"19";"1.0";"";"Female";"State";"Private";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"286";"DE16-086f19";"ND";"2016";"DE";"19";"f";"German";"";"Germany/Saxony";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Oberschulreife";"Insurance Saleswoman";"Oberschulreife";"Plumber";"";"";"ND";"18";"ND";"0.95";"0-17 Rocklitz, Saxony; 18 New Zealand; 19 Australia/Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"287";"DE16-087f19";"ND";"2016";"DE";"19";"f";"German";"";"Saxony";"German";"German";"Swiss German";"public";"public";"High School Diploma";"Student";"Oberschulreife";"Head of a meeting place for old people";"Oberschulreife";"?";"Oberschulreife";"Cook at the German Armed Forces";"ND";"18";"ND";"0.95";"0-1 Switzerland; 2-18 Plauen, Saxony; 19 Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"Swiss-German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education"
"288";"DE16-088f24";"ND";"2016";"DE";"24";"f";"German";"";"Great Britain";"German";"German";"German";"public";"(public,private)";"High School Diploma";"Bachelor Student";"Fachabitur";"Fachlehrerin";"Abitur";"Konstrukteur (Maschinenbau)";"";"";"ND";"24";"ND";"1.0";"0-24 Bamberg";"Germany";"";"24";"1.0";"";"Female";"State";"Mixed";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"289";"DE16-089f18";"ND";"2016";"DE";"18";"f";"German";"";"";"German";"German";"German";"public";"public";"Bachelor";"Student";"Volljuristin";"Richterin";"Volljurist";"Richter";"";"";"ND";"18";"ND";"1.0";"0-18 Seugast, Landkreis Amberg-Sulzbach";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"290";"DE16-090m20";"ND";"2016";"DE";"20";"m";"German";"";"";"German";"German";"German";"public";"public";"Lehramt";"Student";"Wirtschaftsfachwirtin (Ausbildung)";"Wirtschaftsfachwirtin";"Qualli";"Lorry Driver";"";"";"ND";"20";"ND";"1.0";"0-18 Ansbach; 19-20 Bamberg";"Germany";"";"20";"1.0";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"Work-Based Learning";"Secondary Education";"";"Higher Education"
"291";"DE16-091f21";"ND";"2016";"DE";"21";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"High School Diploma";"";"Work Training";"Working Graduation";"Abitur";"Master";"";"";"ND";"18";"ND";"0.86";"0-3 Germany; 4-5 Switzerland; 6-7 Germany; 8 Germany/China; 9-14 Germany; 15 Austria; 16-21 Germany";"Germany";"";"18";"0.86";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Secondary Education";"";"Secondary Education"
"292";"DE16-092m24";"ND";"2016";"DE";"24";"m";"German/Austrian";"Austrian";"Bavaria";"German";"German";"German";"public";"public";"High School Diploma";"Student, Coir/Ensembleleader";"Staatsexamen";"Teacher";"Staatsexamen";"Teacher";"Student";"";"ND";"24";"ND";"1.0";"0-21 Forchheim; 22-23 Dinkelsbühl; 24 Bamberg";"Germany";"";"24";"1.0";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"Higher Education";"Secondary Education"
"293";"DE16-093f19";"ND";"2016";"DE";"19";"f";"German";"";"Bavaria";"German";"German";"German";"public";"public";"High School Diploma";"Abitur";"Work Training";"";"Work Training";"";"";"";"ND";"19";"ND";"1.0";"0-19 Coburg/Bad Rodach";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Work-Based Learning";"";"Secondary Education"
"294";"DE16-094f19";"ND";"2016";"DE";"19";"f";"German";"German";"Saxony";"German";"German";"German";"public";"public";"High School Diploma";"Abitur";"Work Training";"";"Work Training";"";"";"";"ND";"18";"ND";"0.95";"0-17 Zwickau; 18 Cambridge, UK; 19 Bamberg";"Germany";"";"18";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Work-Based Learning";"";"Secondary Education"
"295";"DE16-095m24";"ND";"2016";"DE";"24";"m";"German";"";"";"German";"German";"German";"public";"public";"Bachelor";"Student";"";"";"";"";"";"";"ND";"24";"ND";"1.0";"0-24 Germany";"Germany";"";"24";"1.0";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"";"";"";"Higher Education"
"296";"DE16-096m20";"ND";"2016";"DE";"20";"m";"German";"Bavaria/Upper Bavaria";"Germany";"German";"German";"German";"public";"public";"Staatsexamen";"Student";"Mittlere Reife";"Secretary";"Mittlere Reife";"Car Seller";"Abitur";"";"ND";"20";"ND";"1.0";"0-3 München; 4-6 Puchheim; 7-10 Dorfen; 11-19 Erding; 20 Bamberg";"Germany";"";"20";"1.0";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"Secondary Education";"Higher Education"
"297";"DE16-097f19";"ND";"2016";"DE";"19";"f";"German";"Protestant";"Germany";"German/Russian";"Russian";"Russian";"public";"public";"High School Diploma";"Student";"Secondary School Level";"Nurse (Elderly Care)";"Secondary School Level";"storeman (Lagerist)";"";"";"ND";"19";"ND";"1.0";"0-19 Kulmbach";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German, Russian";"Russian";"Russian";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"298";"DE16-098f21";"ND";"2016";"DE";"21";"f";"German";"";"USA";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Apprenticeship";"Nurse";"Apprenticeship";"Technician";"Bachelor of Science";"IT-developer";"ND";"19";"ND";"0.9";"0-18 Oberasbach, Germany; 19 Philadelphia, PA, USA/ Scarsdale, NY; 20 London, UK/ Darmstadt; 21 Bamberg";"Germany";"";"19";"0.9";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Work-Based Learning";"Higher Education";"Secondary Education"
"299";"DE16-099f20";"ND";"2016";"DE";"20";"f";"German";"";"Germany";"German";"German";"German";"public";"public";"Bachelor";"Student";"Abitur";"Tax Accountant";"Abitur";"Engineer";"";"";"ND";"18";"ND";"0.9";"0-17 Halle, Saale; 18-19 Denver, USA; 20 Bamberg";"Germany";"";"18";"0.9";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Secondary Education";"Secondary Education";"";"Higher Education"
"300";"DE16-100m22";"ND";"2016";"DE";"22";"m";"German/Spanish";"";"Germany";"German/Spanish";"Spanish";"German";"public";"public";"High School Diploma";"Student";"Uni Abschluss";"Spanisch Dozentin";"Uni Abschluss";"";"";"";"ND";"19";"ND";"0.86";"0-1 Kasachstan; 2-3 Hau-Münden; 4-11 München; 12-14 Bamberg; 15 Thailand; 16-19 Bamberg; 20 Thailand; 21 Bayreuth; 22 Bamberg";"Germany";"";"19";"0.86";"";"Male";"State";"State";"German, Spanish";"German";"Spanish";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"301";"DE16-101f19";"ND";"2016";"DE";"19";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"Bachelor";"Student";"Work Training";"Technische Zeichnerin";"Studium";"Polizist";"";"";"ND";"19";"ND";"1.0";"0-19 Breitbrunn";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Higher Education";"Work-Based Learning";"Higher Education";"";"Higher Education"
"302";"DE16-102f21";"ND";"2016";"DE";"21";"f";"German";"Catholic";"Bavaria";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Abitur";"Assistant at the TUM";"Degree in Professional Teaching";"Teacher (m/t)?";"";"";"ND";"20";"ND";"0.95";"0-20 Freising; 21 New Zealand/Bamberg";"Germany";"";"20";"0.95";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Higher Education";"";"Secondary Education"
"303";"DE16-103f20";"ND";"2016";"DE";"20";"f";"German";"";"Germany";"German/Polish";"Polish";"German";"public";"public";"Bachelor";"Student";"Magister";"Bureau of Culture Erlangen";"Master";"Sofware Developer (Siemens)";"Diplom";"Media Consultant";"ND";"20";"ND";"1.0";"0-18 Erlangen; 19-20 Nürnberg";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German, Polish";"German";"Polish";"Higher Education";"Higher Education";"Higher Education";"Higher Education";"Higher Education"
"304";"DE16-104f18";"ND";"2016";"DE";"18";"f";"German";"";"Germany";"mostly German / some English";"German";"German";"public";"private";"Bachelor";"Student";"Master's";"Secretary";"Master's";"CEO of his own business";"";"";"ND";"18";"ND";"1.0";"0-17 Lippstadt; 18 Bamberg";"Germany";"";"18";"1.0";"";"Female";"State";"Private";"German, English";"German";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"305";"DE16-105m23";"ND";"2016";"DE";"23";"m";"German";"German-Romanian-Spanish";"Spain/Aragon";"English/German/Romanian/some Spanish";"German";"Romanian";"public";"public";"Bachelor";"Student (/ post officer/ route setter)";"Magister";"Press Referent";"Diploma Photography";"Dental Technician";"";"";"ND";"20";"ND";"0.87";"0-18 Niedererbach, Rheinland-Pfalz; 19 Madrid, Spain; 20 Huesca, Spain; 21 Niedererbach; 22 Huesca; 23 Bamberg";"Germany";"";"20";"0.87";"";"Male";"State";"State";"English, German, Romanian, Spanish";"Romanian";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"306";"DE16-106m22";"ND";"2016";"DE";"22";"m";"German";"Franconian";"Upper-Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student (/ worker in a print station)";"Mittlere Reife";"Nurse";"Abitur";"Trainer";"";"";"ND";"21";"ND";"0.95";"0-15 Nürnberg; 16-20 Hollfeld; 21 Sydney/Brisbane/Perth, Australia; 22 Bamberg";"Germany";"";"21";"0.95";"";"Male";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"307";"DE16-107f18";"ND";"2016";"DE";"18";"f";"German";"Franconian";"Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Abitur";"Worker in a Laboratory (""Laboratorist"")";"Abitur";"Kardeotechniker";"Hauptschulabschluss";"Electrician";"ND";"18";"ND";"1.0";"0-18 Hollfeld";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education";"Secondary Education"
"308";"DE16-108f18";"ND";"2016";"DE";"18";"f";"German";"";"Franconia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Ausbildung (Industriekauffrau)";"kaufmännische Angestellte";"Diplomkaufmann";"Geschäftsführer";"";"";"ND";"18";"ND";"1.0";"0-18 Baunach";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Higher Education";"";"Secondary Education"
"309";"DE16-109f21";"ND";"2016";"DE";"21";"f";"German";"";"";"German";"German";"Polish";"public";"public";"High School Diploma";"Student";"";"Receptionist";"";"Teacher/Chef";"";"";"ND";"19";"ND";"0.9";"0-18 Germany; 19 England; 20 USA; 21 Germany";"Germany";"";"19";"0.9";"";"Female";"State";"State";"German";"Polish";"German";"Secondary Education";"";"";"";"Secondary Education"
"310";"DE16-110f18";"ND";"2016";"DE";"18";"f";"German";"";"Bayreuth";"German";"German";"German";"public";"public";"High School Diploma";"Student";"Master";"";"Master";"";"";"";"ND";"18";"ND";"1.0";"0-11 Bayreuth; 12-17 Mistelgau; 18 Bamberg";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Higher Education";"Higher Education";"";"Secondary Education"
"311";"DE16-111m20";"ND";"2016";"DE";"20";"m";"Greek";"";"Germany";"Turkish/German (only with brother)";"Turkish";"Turkish";"public";"public";"High School Diploma";"Student";"High school Diploma";"Char woman (?)";"High school Diploma";"Carpenter";"";"";"ND";"20";"ND";"1.0";"0-20 Schwelm, NRW; 20 Bamberg";"Germany";"";"20";"1.0";"";"Male";"State";"State";"Turkish, German";"Turkish";"Turkish";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
"312";"DE16-112m18";"ND";"2016";"DE";"18";"m";"German";"Franconain";"Franconia";"German";"German";"German";"public";"public";"Bachelor";"Student";"Master";"Independent Business";"Diplom";"Governmental Agency";"";"";"ND";"18";"ND";"1.0";"0-18 Eggolsheim";"Germany";"";"18";"1.0";"";"Male";"State";"State";"German";"German";"German";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"313";"DE16-113f18";"ND";"2016";"DE";"18";"f";"German";"German";"Lower Franconia";"German";"German";"German";"public";"public";"High School Diploma";"";"Work Training";"";"Work Training";"";"Work Training";"";"ND";"18";"ND";"1.0";"0-18 Bad Königshofen";"Germany";"";"18";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Work-Based Learning";"Work-Based Learning";"Work-Based Learning";"Secondary Education"
"314";"DE16-114m33";"ND";"2016";"DE";"33";"m";"Australian";"Anglo-Saxon";"Sydney, Australia";"English";"English";"English";"public";"public";"Masters";"Classical musician, English Teacher";"Work Training";"";"Work Training";"";"Master's";"";"ND";"7";"ND";"0.21";"0-22 Sydney, Northshore, Australia; 23-26 Sydney, Innerwest, Australia; 27-31 Leipzig; 32-33 Bamberg";"Australia";"";"26";"0.79";"";"Male";"State";"State";"English";"English";"English";"Higher Education";"Work-Based Learning";"Work-Based Learning";"Higher Education";"Higher Education"
"315";"DE16-115f20";"ND";"2016";"DE";"20";"f";"German/Swiss";"Atheist";"Germany";"English/German/Swiss-German";"English";"French, Swiss-German";"public";"private";"High School Diploma";"Student (working as a sales assistant)";"Master's Degree";"NLP-Trainee";"Abitur";"NLP-Trainee";"Quali";"Bundeswehr";"ND";"20";"ND";"1.0";"0-8 Eckental Forth; 9-17 Bamberg; 18-19 Erlangen; 20 Bamberg";"Germany";"";"20";"1.0";"";"Female";"State";"Private";"English, German, Swiss-German";"French, Swiss-German";"English";"Secondary Education";"Higher Education";"Secondary Education";"Secondary Education";"Secondary Education"
"316";"DE16-116f20";"ND";"2016";"DE";"20";"f";"Chinese";"Chinese";"China";"Chinese";"Chinese";"Chinese";"public";"public";"Bachelor";"";"Bachelor";"";"Bachelor";"";"";"";"ND";"0";"ND";"0.0";"0-18 Shijiazhuang Hebei, China; 19-20 Xi'an Shaanxi, China";"China";"";"20";"1.0";"";"Female";"State";"State";"Chinese";"Chinese";"Chinese";"Higher Education";"Higher Education";"Higher Education";"";"Higher Education"
"317";"DE16-117f20";"ND";"2016";"DE";"20";"f";"German";"";"Upper Franconia";"mostly German / some English";"German";"German";"public";"public";"High School Diploma";"";"";"";"";"";"";"";"ND";"20";"ND";"1.0";"0-20 Lichtenfels";"Germany";"";"20";"1.0";"";"Female";"State";"State";"German, English";"German";"German";"Secondary Education";"";"";"";"Secondary Education"
"318";"DE16-118f19";"ND";"2016";"DE";"19";"f";"German";"";"Germany, Thuringia";"German";"German";"German";"public";"public";"High School Diploma";"Student";"High School";"";"High School";"";"";"";"ND";"19";"ND";"1.0";"0-18 Meiningen; 19 Bamberg";"Germany";"";"19";"1.0";"";"Female";"State";"State";"German";"German";"German";"Secondary Education";"Secondary Education";"Secondary Education";"";"Secondary Education"
